repository,total_loc,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std,repository_full_name,popularidade_estrelas,atividade_releases,maturidade_anos
awaitility,5473,3.176470588235294,1.0,4.559083450367393,1.1941176470588235,1.0,0.5888214969819294,18.58235294117647,0.0,123.72993464864804,awaitility/awaitility,3957,0,15.64
awesome-java-leetcode,1772,1.6805555555555556,2.0,0.5522397134356254,1.0,1.0,0.0,1.1666666666666667,1.0,0.6920066758613097,Blankj/awesome-java-leetcode,8717,0,8.4
awesome-leetcode-resources,360,1.181818181818182,1.0,0.4045199174779452,1.0,1.0,0.0,4.727272727272728,0.0,8.259429872465885,ashishps1/awesome-leetcode-resources,12901,0,1.88
awesome-low-level-design,14591,2.628787878787879,2.0,2.5493519754578253,1.1388888888888888,1.0,0.4336104012283127,3.051767676767677,0.0,11.120696160373384,ashishps1/awesome-low-level-design,17844,0,1.82
awesome-system-design-resources,336,0.8181818181818182,1.0,0.6030226891555273,1.0,1.0,0.0,0.0,0.0,0.0,ashishps1/awesome-system-design-resources,25866,0,1.88
aws-doc-sdk-examples,81846,7.039450089659295,5.0,6.407671290887111,1.0400478182904962,1.0,0.3096502079775828,6.187089061566049,1.0,24.17114566934588,awsdocs/aws-doc-sdk-examples,10196,0,9.06
aws-sdk-java,8601503,6.996019496822065,6.0,19.009765501665644,1.2052869548856708,1.0,0.5212102233806387,123.24976628507928,1.0,4029.6700709372353,aws/aws-sdk-java,4178,0,15.47
AxonFramework,144213,6.4873136280408055,5.0,6.905301255509848,1.284593251373267,1.0,0.7828556961207397,16.170808265759874,0.0,101.525740823523,AxonFramework/AxonFramework,3487,136,13.78
azkaban,93837,6.472330475448168,4.0,8.117783858138615,1.3522992985190958,1.0,0.797206862028509,35.84021823850351,1.0,172.5180409402864,azkaban/azkaban,4515,48,12.9
BackgroundLibrary,8029,4.7899159663865545,4.0,4.830822559673249,1.2100840336134453,1.0,0.4090905494194043,34.1764705882353,0.0,222.0866622365465,JavaNoober/BackgroundLibrary,3893,13,7.01
BadgeView,1759,4.342857142857143,2.0,5.351980706149042,1.3142857142857145,1.0,0.5826626797035551,49.885714285714286,0.0,220.93860891107968,qstumn/BadgeView,3981,5,8.59
banner,2724,6.082191780821918,5.0,6.157094879210338,1.8356164383561644,2.0,0.6874610823355949,47.68493150684932,1.0,350.8987617814958,youth5201314/banner,13037,0,9.39
BannerViewPager,3154,5.410958904109589,3.0,7.199219896856024,1.4109589041095891,1.0,0.7233336489699037,47.821917808219176,0.0,227.59108936287916,zhpanvip/BannerViewPager,3748,59,8.46
